created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Nov 14 16:14:31 +0000 2022,1592189244214501377,"Pa @aniesbaswedan sering tampil dlm Forum skala Internasional krn mmiliki wawasan sangat luas, &amp  beliau pun tdk ksulitan dlm brkomunikasi.  Pa @ganjarpranowo sk tampil dbberapa tempat sbagai penghibur, mungkin krn beliau memliki kmampuan dlm menghibur.. Bgaimana mnurut mu bong ! https://t.co/q8H6TxVkq7",74,215,251,657,in,1411204890106335237,1592189244214501377,BradHarizz,https://twitter.com/BradHarizz/status/1592189244214501377,"aniesbaswedan, ganjarpranowo"
Mon Nov 14 14:29:18 +0000 2022,1592162763832717314,"Lhah wong Pak @erickthohir dan Pak @ganjarpranowo lagi dampingi Presiden @jokowi meresmikan Masjid Zayed kok ya ada warga yg ngomong  ..nanti beneran berpasangan nyapres lho pak""   Ituh yg ikutan poto pake masker marbot nya kali ya?... https://t.co/0gBT5pXHqB""",6,86,111,609,in,55200751,1592162763832717314,WagimanDeep212_,https://twitter.com/WagimanDeep212_/status/1592162763832717314,"erickthohir, ganjarpranowo, jokowi"
Mon Nov 14 12:58:10 +0000 2022,1592139829583654912,"Salah satu prasyarat yang mesti kita penuhi dalam rangka mewujudkan kemandirian dalam pangan adalah ketersediaan air untuk pertanian.   Embung jadi hal wajib yang harus kita sediakan. Maka pada masa awal menjabat, kita targetkan membangun 1.000 embung. https://t.co/hEvSmTFd6j",12,65,183,936,in,109762193,1592139829583654912,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1592139829583654912,
Mon Nov 14 10:19:11 +0000 2022,1592099818209697795,"Anies Capres Nasdem bersama Duta Besar Amerika Serikat untuk Indonesia, Ambassador Sung Yong Kim..  Gubernur Jawa Tengah Ganjar Pranowo bersama Presiden Persatuan Emirat Arab Mohammed Bin Zayed Al Nahyan (MBZ)..  Ternyata ga perlu ke Bali untuk ketemu pemimpin dunia.. https://t.co/DaFWN77Wbr",14,120,83,483,in,214159664,1592099818209697795,Paltiwest,https://twitter.com/Paltiwest/status/1592099818209697795,
Mon Nov 14 09:10:52 +0000 2022,1592082629406658560,"Percaya Diri Deklarasikan Ganjar Pranowo Capres, PSI Ternyata Belum Lolos Verifikasi Pemilu 2024 https://t.co/p98uCI8lxN",60,227,130,510,in,3319260420,1592082629406658560,geloraco,https://twitter.com/geloraco/status/1592082629406658560,
Mon Nov 14 07:04:05 +0000 2022,1592050722904104960,Kaum muslim Tanah Air punya peran yang sangat besar terhadap bangunan image Islam di mata internasional.   Utamanya bagaimana umat muslim di Tanah Air menjunjung tinggi spirit kemanusiaan dalam menjalankan keagamaan dan kenegaraan. https://t.co/F9wX0oehGD,8,49,134,856,in,109762193,1592050722904104960,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1592050722904104960,
Mon Nov 14 07:01:32 +0000 2022,1592050081657544704,Siap pak menteri,7,69,92,1121,in,109762193,1592050081657544704,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1592050081657544704,
Mon Nov 14 04:30:02 +0000 2022,1592011953660362752,Momen-momen kedekatan persaudaraan antara Presiden Jokowi dan Presiden PEA Mohammed bin Zayed Al Nahyan saat meresmikan Masjid Raya Sheikh Zayed Solo  Sempat dikenalin juga ke Bu Yenny @yennywahid dan Pak Ganjar @ganjarpranowo https://t.co/tpDyUG83oF,12,23,132,437,in,1159475566069731331,1592011953660362752,BiLLRaY2019,https://twitter.com/BiLLRaY2019/status/1592011953660362752,"yennywahid, ganjarpranowo"
Mon Nov 14 04:28:36 +0000 2022,1592011593617145856,Pembangunan Sheikh Zayed Grand Mosque Solo ini bukan sekadar tentang persahabatan dua negara dengan penduduk muslim terbesar di dunia. https://t.co/PaVPeaD611,80,416,426,3435,in,109762193,1592011593617145856,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1592011593617145856,
Mon Nov 14 04:22:51 +0000 2022,1592010147542732800,Peresmian Masjid Raya Sheikh Zayed Solo yang sangat indah juga menjadikan tempat saya dan Pak @ganjarpranowo bersilaturahmi tadi pagi.  Insyaallah diberikan kesempatan untuk kembali lagi ke sini dan ikut salat berjemaah bersama rekan-rekan. Aamiin. https://t.co/ZjuuZZ1t1W,46,322,328,2941,in,43088704,1592010147542732800,erickthohir,https://twitter.com/erickthohir/status/1592010147542732800,ganjarpranowo
